player_id,name,team,position,shirt_number,dob,age,caps,intl_goals,club,league,provisional,market_value_eur
4a395d48-4ab5-4509-b88e-70e5930a4fd3,Guillermo Ochoa,Mexico,GK,,1985-07-13,40.0,151,0.0,AEL Limassol,,True,300000.0
e340e89e-e174-4d18-a6b9-249cef5cadd9,Raúl Rangel,Mexico,GK,,2000-02-25,26.0,12,0.0,Guadalajara,Liga MX,True,6500000.0
5a5b5bbd-5eaa-4af2-b68f-47c8025bbc85,Carlos Acevedo,Mexico,GK,,1996-04-19,30.0,7,0.0,Santos Laguna,Liga MX,True,2800000.0
e0165a3a-19ba-4c40-8605-a43e16576d51,José Antonio Rodríguez,Mexico,GK,,1992-07-04,33.0,2,0.0,Tijuana,Liga MX,True,550000.0
a3f5d396-0ca3-4294-84e9-7affb6ba4eb7,Carlos Moreno,Mexico,GK,,1998-01-29,28.0,0,0.0,Pachuca,Liga MX,True,3500000.0
80a8cbfb-3621-4221-8aeb-8e6dcf790c1a,Álex Padilla,Mexico,GK,,2003-09-01,22.0,0,0.0,Athletic Bilbao,La Liga,True,3000000.0
6d273406-c8a2-4c98-9e88-43b02ab5de9b,Jesús Gallardo,Mexico,DF,,1994-08-15,31.0,119,3.0,Toluca,Liga MX,True,2800000.0
f55aaaa5-f9f6-41a0-bf1a-03e41b727f44,César Montes,Mexico,DF,,1997-02-24,29.0,65,4.0,Lokomotiv Moscow,Russian Premier League,True,7500000.0
d0fcff80-bb46-49dc-9c02-8c83fb924a5e,Jorge Sánchez,Mexico,DF,,1997-12-10,28.0,57,3.0,PAOK,Super League Greece,True,2200000.0
1cbb3fb9-2b40-4f24-a36e-0af63b6a26e2,Johan Vásquez,Mexico,DF,,1998-10-22,27.0,44,1.0,Genoa,Serie A,True,13000000.0
f93e5db6-f977-45e5-838e-c099222c7657,Israel Reyes,Mexico,DF,,2000-05-23,26.0,32,2.0,América,Liga MX,True,6500000.0
f955ba3d-4df9-456b-ac4a-887046ca1b22,Jesús Alberto Angulo,Mexico,DF,,1998-01-30,28.0,19,0.0,UANL,Liga MX,True,4000000.0
6821b958-87dc-4637-8ffa-edfbd3c401c4,Julián Araujo,Mexico,DF,,2001-08-13,24.0,16,0.0,Celtic,Scottish Premiership,True,8000000.0
69620f3e-983a-4a6c-aaa5-79296d06c5bc,Mateo Chávez,Mexico,DF,,2004-05-11,22.0,8,0.0,AZ,Eredivisie,True,4000000.0
26be18f7-c3a6-4077-88fb-33b44022b3ce,Víctor Guzmán,Mexico,DF,,2002-03-07,24.0,6,0.0,Monterrey,Liga MX,True,5000000.0
b65a876d-1e70-41ce-aa51-1da2d73a03b7,Richard Ledezma,Mexico,DF,,2000-09-06,25.0,3,1.0,Guadalajara,Liga MX,True,6000000.0
5d9c3923-ca25-4ef8-951d-2914ca97fca6,Everardo López,Mexico,DF,,2005-03-23,21.0,3,0.0,Toluca,Liga MX,True,3000000.0
f0cc67ec-c96d-4999-8058-83ebb7b3a42f,Alejandro Gómez,Mexico,DF,,2002-01-31,24.0,2,0.0,Tijuana,Liga MX,True,3000000.0
7df065e0-fae2-4492-b6a2-2b993eb04327,Bryan González,Mexico,DF,,2003-04-10,23.0,2,0.0,Guadalajara,Liga MX,True,7500000.0
03f1e5cf-fd6f-4989-a4e7-5e4bad2d90d6,Ramón Juárez,Mexico,DF,,2001-05-03,25.0,2,0.0,América,Liga MX,True,4500000.0
40aa49aa-bcbc-4ffd-98dc-1bddf858b0a9,Edson Álvarez,Mexico,MF,,1997-10-24,28.0,96,7.0,Fenerbahçe,Süper Lig,True,15000000.0
4a8af3e7-faa1-44b5-b165-8839585af949,Orbelín Pineda,Mexico,MF,,1996-03-24,30.0,90,12.0,AEK Athens,Super League Greece,True,7000000.0
96ce0915-0018-4739-950a-a8b042102b8d,Carlos Rodríguez,Mexico,MF,,1997-01-03,29.0,67,0.0,Cruz Azul,Liga MX,True,5000000.0
f8e62d03-b641-4ed6-b503-8387deb88d46,Roberto Alvarado,Mexico,MF,,1998-09-07,27.0,66,5.0,Guadalajara,Liga MX,True,7500000.0
6bbba007-4bf5-44ba-b86c-73fd2994b121,Luis Romo,Mexico,MF,,1995-06-05,31.0,61,4.0,Guadalajara,Liga MX,True,3000000.0
7e44187b-2a72-43fe-a83a-dd0642b3f470,Luis Chávez,Mexico,MF,,1996-01-15,30.0,43,4.0,Dynamo Moscow,Russian Premier League,True,6000000.0
